pokemon_id,type_id
1,1
1,2
2,1
2,2
3,1
3,2
4,3
5,3
6,3
6,4
7,5
8,5
9,5
10,6
11,6
12,6
12,4
13,6
13,2
14,6
14,2
15,6
15,2
16,7
16,4
17,7
17,4
18,7
18,4
19,7
20,7
21,7
21,4
22,7
22,4
23,2
24,2
25,8
26,8
27,9
28,9
29,2
30,2
31,2
31,9
32,2
33,2
34,2
34,9
35,10
36,10
37,3
38,3
39,7
39,10
40,7
40,10
41,2
41,4
42,2
42,4
43,1
43,2
44,1
44,2
45,1
45,2
46,6
46,1
47,6
47,1
48,6
48,2
49,6
49,2
50,9
51,9
52,7
53,7
54,5
55,5
56,11
57,11
58,3
59,3
60,5
61,5
62,5
62,11
63,12
64,12
65,12
66,11
67,11
68,11
69,1
69,2
70,1
70,2
71,1
71,2
72,5
72,2
73,5
73,2
74,13
74,9
75,13
75,9
76,13
76,9
77,3
78,3
79,5
79,12
80,5
80,12
81,8
81,14
82,8
82,14
83,7
83,4
84,7
84,4
85,7
85,4
86,5
87,5
87,15
88,2
89,2
90,5
91,5
91,15
92,16
92,2
93,16
93,2
94,16
94,2
95,13
95,9
96,12
97,12
98,5
99,5
100,8
101,8
102,1
102,12
103,1
103,12
104,9
105,9
106,11
107,11
108,7
109,2
110,2
111,9
111,13
112,9
112,13
113,7
114,1
115,7
116,5
117,5
118,5
119,5
120,5
121,5
121,12
122,12
122,10
123,6
123,4
124,15
124,12
125,8
126,3
127,6
128,7
129,5
130,5
130,4
131,5
131,15
132,7
133,7
134,5
135,8
136,3
137,7
138,13
138,5
139,13
139,5
140,13
140,5
141,13
141,5
142,13
142,4
143,7
144,15
144,4
145,8
145,4
146,3
146,4
147,17
148,17
149,17
149,4
150,12
151,12
